segment_type,segment_value,listing_count,empirical_coverage,average_interval_width,median_interval_width,mae,median_absolute_error,potentially_underpriced_count,potentially_overpriced_count,nominal_coverage,coverage_gap,underpriced_rate,overpriced_rate
price_band,$50k+,1210,0.23471074380165288,13954.53829225742,13963.332709090158,20472.27026787167,14917.262558202328,40,886,0.9,-0.6652892561983471,0.03305785123966942,0.7322314049586777
price_band,$35k-$50k,2678,0.6023151605675877,13959.851014675964,13963.332709090158,7050.96150669569,5488.243399548057,138,927,0.9,-0.2976848394324123,0.05153099327856609,0.34615384615384615
price_band,$20k-$35k,7595,0.8200131665569453,13956.937496240163,13963.332709090158,4246.444694086363,3340.676953392118,418,949,0.9,-0.07998683344305468,0.05503620803159974,0.12495062541145491
price_band,Under $5k,8553,0.9050625511516427,11192.059028976622,11033.832538390989,3348.7326621228376,1260.3780695883888,812,0,0.9,0.005062551151642669,0.0949374488483573,0.0
price_band,$10k-$20k,11248,0.9453236130867709,13922.340086796969,13963.332709090158,2601.070925907262,1942.1353037392855,364,251,0.9,0.04532361308677091,0.032361308677098154,0.022315078236130867
price_band,$5k-$10k,10462,0.9737143949531638,13253.048205292369,13963.332709090158,1766.3266969960496,1190.0806280350125,268,7,0.9,0.07371439495316379,0.02561651691837125,0.0006690881284649206
vehicle_age_band,0-2 years,3254,0.6914566687154272,13955.019293959642,13963.332709090158,7581.942883114329,4094.524429627312,414,590,0.9,-0.2085433312845728,0.1272280270436386,0.18131530424093423
vehicle_age_band,3-5 years,7137,0.8027182289477371,13957.797991717463,13963.332709090158,5099.248080915311,2676.754348330269,557,851,0.9,-0.09728177105226288,0.07804399607678296,0.1192377749754799
vehicle_age_band,21+ years,3963,0.8291698208427959,12201.109496027135,13354.900527553616,4710.058865777856,2215.188347027095,197,480,0.9,-0.07083017915720413,0.049709815796114054,0.12112036336109008
vehicle_age_band,6-10 years,12886,0.8951575353096384,13796.178981663466,13963.332709090158,3227.5669618916068,1939.6309673701344,631,720,0.9,-0.0048424646903616475,0.04896787210926587,0.05587459258109576
