model,price_band,listing_count,mae,median_absolute_error,median_actual_price,median_prediction
global_median,Under $5k,8553,13657.673681749095,13473.0,3300.0,16773.0
global_median,$5k-$10k,10462,9291.772892372395,9285.0,7488.0,16773.0
global_median,$10k-$20k,11248,2864.162073257468,2774.0,14990.0,16773.0
global_median,$20k-$35k,7595,10285.46517445688,10217.0,26990.0,16773.0
global_median,$35k-$50k,2678,24292.923076923078,23215.0,39988.0,16773.0
global_median,$50k+,1210,50457.11983471074,45217.0,61990.0,16773.0
segment_median,Under $5k,8553,4119.269846837367,2000.0,3300.0,4999.0
segment_median,$5k-$10k,10462,2497.565427260562,1700.0,7488.0,7595.0
segment_median,$10k-$20k,11248,4128.344994665718,3214.0,14990.0,13995.0
segment_median,$20k-$35k,7595,5824.2159973666885,4395.5,26990.0,24900.0
segment_median,$35k-$50k,2678,9556.285474234503,7400.0,39988.0,34590.0
segment_median,$50k+,1210,26960.45867768595,21282.0,61990.0,38998.0
catboost,Under $5k,8553,3254.4376943065063,1213.4894234407893,3300.0,4531.2215196391135
catboost,$5k-$10k,10462,1721.234949334857,1143.1687886783075,7488.0,7698.962374912182
catboost,$10k-$20k,11248,2512.0872082034034,1860.9948251348105,14990.0,14376.084451753692
catboost,$20k-$35k,7595,4051.766013341725,3070.6946686969313,26990.0,25361.839951157977
catboost,$35k-$50k,2678,6621.221339071054,4971.477714814257,39988.0,36454.35585592082
catboost,$50k+,1210,19978.032348379125,14329.238913943216,61990.0,47838.123328183945
